"Please login using your study username and password.

Username:",How much do you feel your understanding of phishing websites has improved?,How much do you feel the MobyPhish extension improved your ability to detect fishing attacks?,"Without using the MobyPhish extension, how likely are you to check the domain name (URL) of a website to determine if it is a phishing website?
name (URL) of a website to determine if it is a phishing website?","Without using the MobyPhish extension, how likely are you to check the SSL certificate of a website to determine if it is a phishing website?","If it were available, would you use MobyPhish or a similar extension on your own
device after the study?",How easy was it to use the MobyPhish extension?,How satisfied are you with the MobyPhish extension?,What aspects of the MobyPhish extension did you find most useful? Please explain.,What aspects of the MobyPhish extension did you find most challenging or confusing? Please explain.,Were there any specific features or functionalities you wished the MobyPhish extension had? Any features or functionalities you would like to see removed? Please explain.,Do you have any other comments or suggestions regarding the MobyPhish extension?
39Mag,Considerable Improvement,Significant Improvement,Neutral,Likely,Yes,Easy,Very Satisfied,"I enjoyed that it simply tells you if the site you are on is safe or not. Ive used other extensions like this and they don't make it clear. This dumbed it down for me, in a good way. ","It glitched out a couple times - there would be a flash warning sign and then it would go away and just say ""Protected site."" That made it hard to tell whether or not the site actually was safe.","It was relatively confusing to know how and what to put in the list of website for the extension. Id like it if it could offer some websites I often use, and then choose from those, which ones Id like it to remember. ","Its a good site, but it just comes off a little unorganized. The videos were a bit disorganized, the placement of buttons and the instructions were a little disorganized. I think just cleaning it up visually will help. "
Cod74,Slight Improvement,Moderate Improvement,Very Likely,Very Likely,Yes,Very Easy,Very Satisfied,I like that it gave an obvious alert on the screen and could save me time by not having to do multiple checks manually on each site I visit ,NA,NA,No
Teal15,Considerable Improvement,Moderate Improvement,Likely,Unlikely,Yes,Easy,Satisfied,That it created the feedback for the website without being prompted ,the wording of its feedback was a little odd,n/a,n/a
61Pig,No Improvement,No Improvement,Very Likely,Neutral,No,Difficult,Dissatisfied,im just confused to be honest if you always type in for example chase.com how can one possibly get to a fake chase website? ,it just wasnt explained well,let you go to the specific  website diretly using the extension so that you never end up at the fake site,no
28Cow,Considerable Improvement,Moderate Improvement,Very Unlikely,Very Unlikely,Probably Yes,Very Easy,Satisfied,How it would tell me if there was something wrong with the link,One challenging part what to do after the extension showed up. What steps to do after it shows up.,No,No
63Tan,Slight Improvement,Slight Improvement,Very Unlikely,Very Unlikely,Probably Not,Neutral,Neutral,It was helpful how it suggested that a website wasn't secure,Idk that one pop-up lowkey scared me,No :-),No :-)
89Ape,Considerable Improvement,Considerable Improvement,Unlikely,Very Unlikely,Yes,Very Easy,Very Satisfied,It stops you from proceeding at all if you encounter a phishing site,Where does the report button report the phishing site to?,It would be nice if it detected you were on a phishing site and then redirected you to the correct site.,no :)
12Yak,Considerable Improvement,Significant Improvement,Likely,Very Unlikely,Probably Yes,Very Easy,Very Satisfied,Ease of use and efficient,Nothing,Nothing,No
9Ape,Moderate Improvement,Moderate Improvement,Very Unlikely,Very Unlikely,Maybe,Easy,Satisfied,It made me aware of the possibility of a change to the digital certificate,"At first, I was not aware I needed to uninstall the folder to find it in the extentions.",None,None
42Yak,Considerable Improvement,Considerable Improvement,Neutral,Neutral,Probably Yes,Easy,Satisfied,That it can show it within a click,whether it tracks my information or not,If it was a bit visually aesthetic,No
Hen96,Moderate Improvement,Slight Improvement,Likely,Neutral,Probably Yes,Neutral,Neutral,easy to understand once installed,installing,maybe a practice panel?,n/a
55Pur,Slight Improvement,No Improvement,Neutral,Unlikely,Maybe,Neutral,Dissatisfied,"I found being able to save my protected websites very useful. That way, I can always be sure that website I visit often are secure.",I was confused on the security certificate usage from the extension. I sometimes didn't understand if the website was real or not even with the extension's help.,None that I am aware of,n/a
90Lime,Considerable Improvement,Considerable Improvement,Likely,Neutral,Yes,Very Easy,Very Satisfied,"I like how easily it is built into the browser. I like that when there was an unsecure website in the simulation, it popped up directly on the screen that I should not proceed so it made it very clear. ","Installing it, but the direction video made it simple. ",Not that I can think of,Not right now
Gray79,Significant Improvement,Significant Improvement,Very Likely,Likely,Probably Yes,Very Easy,Satisfied,It sends an alert directly to my screen when there is a potential security issue,downloading it and installing it haha,not really,n/a
85Blu,Significant Improvement,Considerable Improvement,Likely,Likely,Yes,Very Easy,Very Satisfied,The notification when security information or SSL of a website has changed and that could be an indicator of phishing,Nothing comes to mind at the moment,N/A,"maybe a better UI, it looks a little outdated"
Bee7,Significant Improvement,Significant Improvement,Unlikely,Unlikely,Yes,Very Easy,Satisfied,"Even when the extension is just running in the background, it is able to detect and alert the user of a possible attack. I do not need to actively be considering whether or not I am being phished if I were to have MobyPhish installed.",I think the alerts could potentially be less scary and alarming. ,I don't think so.,I really enjoy it!
87Navy,Significant Improvement,Significant Improvement,Likely,Likely,Yes,Very Easy,Very Satisfied,How it popped up automatically when detecting fraudulent websites,I did not find any part to be challenging,Maybe if it directed me to the proper site after detecting the bad one,N/A
Hen9,Considerable Improvement,Considerable Improvement,Likely,Unlikely,Probably Yes,Easy,Satisfied,"I liked how it would tell you if the URL and the certification was safe, or if it was one and not the other was safe. It was also very clear if it was a safe website or not.",Nothing,No,No
67Pnk,Moderate Improvement,Considerable Improvement,Unlikely,Very Unlikely,Maybe,Easy,Neutral,Simple click to view and reporting was easy.,I did not understand what auto password fields or something along those lines meant.,Would have been easier if it has an automatic popup for dangerous phishing websites. ,No.
17Grn,Considerable Improvement,Significant Improvement,Very Unlikely,Very Unlikely,Yes,Very Easy,Very Satisfied,"Being able to just click one icon and have it check made it the most useful. It was extremely simple, so I did not have to worry about my lack of computer science or cybersecurity getting in the way of protecting my information. ","I think downloading it was the most ""confusing"" part, but even that was relatively simple with instructions. ","No, I think MobyPhish was extremely useful the way it currently is. ","No, I think this extension is great!"
30Tan,Slight Improvement,Slight Improvement,Unlikely,Very Unlikely,Maybe,Easy,Neutral,I found that its simplicity was most useful.,Nothing seemed to complicated or difficult,Not any specific functionalities come to mind.,The warning was very sudden and made it seem as though it was an intrusive pop-up and took me a little bit to realize it was the warning from the Mobyphish extension
49Fox,Considerable Improvement,Slight Improvement,Very Likely,Likely,Maybe,Difficult,Neutral,"I didn't really use the extension, in fact from what I can understand, had me try to save my password for a website that was a phishing website, which was confusing.","I didn't really use the phishing website, after I wasn't able to use it in the five or so rounds I gave up trying to use it as and just checked the url and SSL to determine if the site was legit.","I saved the proper site in the beginning, but it never sent me any sort of alerts or anything when I was on a phishing site. The only notification I got was for a phishing site, saying that the site would ask for a password. This was very confusing to me.",no
Ant88,Slight Improvement,No Improvement,Very Unlikely,Very Unlikely,Maybe,Easy,Satisfied,I would need to use in more in my personal life. ,I think i was just most confused on when I was supposed to use it in the study versus when I wasnt supposed to. ,"Again, I feel like I would need to have more experience with it. ",no
Owl67,Moderate Improvement,Moderate Improvement,Unlikely,Very Unlikely,Yes,Easy,Satisfied,"It alerted me right away that the certification changed. When the website is different, it's really obvious but I'm more unlikely to check the certification and that really helps!",Nothing so far!,Any sort of virus scanning as well. To check if the attachments or such on the site will cause viruses on your computer.,Not at the moment. I thought it was really cool and I would definitely use it myself if it was normally available. 
blu64,Considerable Improvement,Considerable Improvement,Unlikely,Very Unlikely,Probably Yes,Neutral,Satisfied,ability to detect fraudulent websites,I think its design could still be cleaned up a bit,I think it popping up for every new website I go on might be hard,no
33Dog,Moderate Improvement,Considerable Improvement,Unlikely,Unlikely,Yes,Easy,Satisfied,"You could easily tap on the MobyPhish extension and find out if the website was safe or not. 
Usually, you would have to go through a three step process but I only had to go through a one step process with MobyPhish.",N/A,N/A,N/A
96Ram,Slight Improvement,Considerable Improvement,Likely,Neutral,Probably Yes,Easy,Satisfied,"it helps to find fishing sites, and as a non tech person it is very helpful for me ",i understand the concept but im not used to checking the website certificate,N/A,N/A
70Elk,Moderate Improvement,Moderate Improvement,Very Unlikely,Very Unlikely,Maybe,Easy,Satisfied,It is nice you don't have to manually check the URL of every website,Finding how to click on it,Maybe adding some sort of pop up blocker,N/A
29Pur,Slight Improvement,Moderate Improvement,Unlikely,Very Unlikely,Maybe,Easy,Satisfied,I liked how clear it was when there was a phishing attack,I was a little confused in the beginning because I could not tell if I clicked to make the website secure or not,I think it was good,No
63blk,Moderate Improvement,Considerable Improvement,Likely,Likely,Probably Yes,Neutral,Satisfied,how to check phishing websites,not sure,None,"nope, one extra step everytime might not be possible"
Ant85,Significant Improvement,Significant Improvement,Very Likely,Very Likely,Yes,Very Easy,Very Satisfied,understanding on the website URL and the phishing attacks caused by it,how a small mistake can be detrimental in financial websites....,nothing specific but verification of digital certificates can be made more evident so even a novice user can figure that out quickly...,would like to see this adopted in different coursework so there is much better understanding on this critical issue
28Hen,Moderate Improvement,Slight Improvement,Very Likely,Unlikely,Yes,Very Easy,Very Satisfied,I found the report button and blaring messages very easy to read and take action upon,Nothing- all worked very well,I thought the extension was very easy to use. ,No- well done
54Cow,Considerable Improvement,Considerable Improvement,Very Unlikely,Very Unlikely,Probably Yes,Very Easy,Satisfied,I liked how it pops up when you're on a suspicious website. I don't know if I would remember to check it on my own.,I thought we had to look at the SSL thing manually so I think I misreported some things as fraud. I though the extension itself was easy to use and I didn't have a hard time adding or deleting safe webpages. ,I think it's just fine as it is. ,No
70Yel,Slight Improvement,Significant Improvement,Very Unlikely,Very Unlikely,Yes,Very Easy,Very Satisfied,Very easy to use and understand,I didn't find any parts confusing,No I thought it was very easy to understand,N/A
Cat28,Considerable Improvement,Considerable Improvement,Likely,Neutral,Probably Yes,Easy,Very Satisfied,i found it to be very accessible and easy to use. it was also very quick!,installing it was a little difficult ,i wish it automatically checked URLs without having to click it,none
61Cod,Slight Improvement,Considerable Improvement,Likely,Neutral,Probably Yes,Very Easy,Satisfied,"How easy it was to use 
No complicated steps ","when to click the fish
either before or after information or on the initial site ",not that i can think of now ,nope
88Tan,Considerable Improvement,Considerable Improvement,Likely,Neutral,Yes,Easy,Satisfied,"While I hopefully will always keep an eye out for myself when it comes to possible phishing attacks and scams, it's very helpful to have an asset that I can trust to know that it's watching over everything I do and could tell me, OK, this is a legitimate site with a legitimate certificate, without me necessarily having to check over that every time.","I would hope that, in practice, a real MobyPhish extension would automatically alert me to possible issues as soon as I land on a sketchy page, instead of me having to manually click on the extension icon to check if everything is OK.","I don't know if it's actually possible, but maybe there's a way to instantly confirm the site certificate with one click of the MobyPhish extension icon, rather than having to click three separate things to get that site certificate the standard way.","It's a promising idea and I wish you well. I hope to see something like this made more available to people who aren't specifically into tech issues and wouldn't naturally gravitate to a study like this, and I hope that this Chrome experiment is a starting point that would then be available on additional platforms."
46Cub,Considerable Improvement,Slight Improvement,Unlikely,Very Unlikely,Yes,Easy,Satisfied,The alerts that popped up,nothing,nothing i can think of.,not that i can think of
Ram52,Slight Improvement,Moderate Improvement,Very Unlikely,Very Unlikely,Maybe,Very Easy,Satisfied,Not having to click on it and it automatically telling me the website I'm on looks questionable ,"In the beginning it was kind of confusing not understanding it would pop up if they think the website was bad, I think instead of having to click on the extension there should automatically be a little screen that says if the website is good or bad",I explained in the last question I think there should be a little box on screen saying if the website is good or bad instead of having to go manually click the extension/wait for it to pop up by itself ,"I like the idea of it especially because looking at the URL seems like a lot especially being someone who uses a lot of different website, so I think having the extension will be helpful "
Lav89,Significant Improvement,Significant Improvement,Likely,Likely,Yes,Easy,Very Satisfied,Ability to dtect phishing signs and explain why,Adding the extension itself to the broswer,Compatibility with other browsers,NA
50Fox,Moderate Improvement,Slight Improvement,Likely,Likely,Probably Yes,Very Difficult,Very Dissatisfied,"I had a hard time understanding not only the purpose, but how to use the extension. I appreciate that it acts like a log, checking if the website you're using is accurate to the one you've previously logged with mobyphish. Yet the physical use is very confusing, when I click on the fish icon, am i checking or logging? ","As explained last time, I just dont really have a great grasp on the whole thing. I only reported 1 website because there was an obvious reason it was a scam. Was the pop up part of the moby phish extension? I think if you're creating a product aimed at people with low levels of media literacy, the product need to be more accessible. ","Along with a deeper grasp on what it is and how im supposed to use it, i need more colored icons and more clear indicators.",I like the little fish icon! He is cute.
